"referenceId","Bodega","SKU","Entry ID","Fecha de entrada","Fecha de vencimiento","Inv Entra","Inv Vendido","Inv en Transito","Inv Dañado","Inv Destruido","Inv Donado","Inv Mercadeo","Inv Ajustado","Inv Disponible","Precio Unidad","Vence en","Días de Inv","En Bodega"
"525","Cuchareable Alpina ",Multiservicios Colombia,7702001053223,15,,0,,,,,,,,,2293,,,
"526","Mini Bony Chococan ",Quick,7702001104635,20,,0,,,,,,,,,3112,,,
"528","Bon Yurt Zucaritas (Paquete)",Quick,7702001100736,20,,0,,,,,,,,,3848,,,
"529","Yox Vainilla  ",Quick,7702001101467,20,,0,,,,,,,,,5105,,,
"533","Yox Vainilla Botella",Quick,7702001041947,20,,0,,,,,,,,,649,,,
"536"," Yox Multisabor ",Multiservicios Colombia,7702001043064,15,,0,,,,,,,,,7396,,,
"537","Finesse Frutos Rojos Vaso",Multiservicios Colombia,7702001041701,15,,0,,,,,,,,,995,,,
"538","Finesse Melocoton Vaso",Multiservicios Colombia,7702001041756,15,,0,,,,,,,,,995,,,
"540","Finesse Melocoton Botella",Multiservicios Colombia,7702001042746,15,,0,,,,,,,,,3939,,,
"543","Finesse Fresa Botella",Multiservicios Colombia,7702001042715,15,,0,,,,,,,,,6101,,,
"544","Finesse Frutos rojos Botella",Multiservicios Colombia,7702001042708,15,,0,,,,,,,,,6098,,,
"546","Kumis Botella ",Multiservicios Colombia,7702001048113,15,,0,,,,,,,,,3592,,,
"548","Kumis Bolsa",Quick,7702001047963,20,,0,,,,,,,,,2594,,,
"549","Yogurt Original Melocotón Botella",Multiservicios Colombia,7702001043941,15,,0,,,,,,,,,3592,,,
"565","Finesse Fresa Botella",Multiservicios Colombia,7702001042739,15,,0,,,,,,,,,3940,,,
"568","Yogurt Griego Natural Vaso ",Multiservicios Colombia,7702001055074,15,,0,,,,,,,,,1082,,,
"570","Yox Multisabor Botella ",Multiservicios Colombia,7702001101474,15,,0,,,,,,,,,5104,,,
"571","Yox Multifruta Botella",Multiservicios Colombia,7702001041961,15,,0,,,,,,,,,649,,,
"573","Finesse Fresa Vaso ",Multiservicios Colombia,7702001041749,15,,0,,,,,,,,,995,,,
"574","Yogurt Baby Manzana ",Multiservicios Colombia,7702001017324,15,,0,,,,,,,,,692,,,
"575","Yogurt Baby Durazno ",Multiservicios Colombia,7702001017348,15,,0,,,,,,,,,692,,,
"576","Yogurt Baby Natural ",Multiservicios Colombia,7702001017317,15,,0,,,,,,,,,692,,,
"580","Yogurt Baby Vainilla ",Multiservicios Colombia,7702001017300,15,,0,,,,,,,,,692,,,
"583","Yogurt Deslactosado Melocoton Botella",Quick,7702001041565,20,,0,,,,,,,,,3675,,,
"588","Yogurt Deslactosado Fresa Botella",Multiservicios Colombia,7702001041558,15,,0,,,,,,,,,3675,,,
"593","Bon Yurt Chocokrispi",Multiservicios Colombia,7702001086054,15,,0,,,,,,,,,1038,,,
"594","Bon Yurt de Choco Krispis",Quick,7702001100743,20,,0,,,,,,,,,3848,,,
"595","Regeneris Trozos Vaso ",Quick,7702001047000,20,,0,,,,,,,,,4067,,,
"597","Yog Baby Vainilla Con Cereal Rice Krispis ",Multiservicios Colombia,7702001018154,15,,0,,,,,,,,,779,,,
"600","Kumis Bolsa",Quick,7702001048106,20,,0,,,,,,,,,2119,,,
"601","Yogurt Original de Fresa en Botella",Multiservicios Colombia,7702001043934,15,,0,,,,,,,,,3592,,,
"603","Yogurt Griego Mora y Arándano ",Multiservicios Colombia,7702001055067,15,,0,,,,,,,,,1081,,,
"604","Yogurt Griego Fresa Vaso",Multiservicios Colombia,7702001055050,15,,0,,,,,,,,,1081,,,
"605","Yogurt Original Fresa Bolsa",Multiservicios Colombia,7702001047390,15,,0,,,,,,,,,1991,,,
"607","Yogurt Original Fresa Vaso  ",Multiservicios Colombia,7702001044115,15,,0,,,,,,,,,952,,,
"613","Bolsas Basura Task Papelera",Quick,780681080031-0,2,,0,,,,,,,,,2263,,,
"614","Bolsa Basura Task Minipapelera",Quick,770314717009-6,2,,0,,,,,,,,,2376,,,
"615","Bolsa  Basura Task Bio Residencial",Quick,780681080044-0,2,,0,,,,,,,,,2130,,,
"616","Bolsa Basura Task Bio Apartamento",Quick,780681080043-3,2,,0,,,,,,,,,1335,,,
"617","Guante Conveniente Task",Quick,780681000052-9,2,,0,,,,,,,,,1387,,,
"618","Guante Conveniente Task",Quick,780681000057-4,2,,0,,,,,,,,,1387,,,
"621","Esponja Platinum Task",Quick,780681000334-6,2,,0,,,,,,,,,790,,,
"623","Cepillo Sanitario Task C/Base",Quick,770314704704-6,2,,0,,,,,,,,,1899,,,
"657","All- Bran  Cosecha Frutal 360gr x14 ",Quick,7501008008188,2,,0,,,,,,,,,5212,,,
"881","Bon Yurt Zucaritas ",Multiservicios Colombia,7702001086023,15,,0,,,,,,,,,1038,,,
"886","Yogurt Griego Multisabor ",Multiservicios Colombia,7702001100989,15,,0,,,,,,,,,4320,,,
"887","Yogurt Deslactosado Melocoton Vaso",Quick,7702001041855,20,,0,,,,,,,,,995,,,
"891","Yogo Premio Mora Botella ",Quick,7702001047178,20,,0,,,,,,,,,951,,,
"897","Yogurt Original Mora Vaso ",Multiservicios Colombia,7702001044160,15,,0,,,,,,,,,951,,,
"902","Regeneris Fresa Botella ",Quick,7702001041985,20,,0,,,,,,,,,4024,,,
